device,f1_idle,f1_active,Difference
samsungtvsmall,77.84%,81.25%,-3.41%
google1d15,90.91%,67.61%,23.30%
toshiba,92.05%,69.32%,22.73%
echodot5,82.39%,63.64%,18.75%
echodot3,92.42%,75.57%,16.86%
antela,88.07%,72.73%,15.34%
appletv,92.44%,81.09%,11.35%
cosori,89.2%,70.45%,18.75%
lepro,96.59%,86.36%,10.23%
bose,90.91%,71.02%,19.89%
xiaomiblender,92.05%,83.52%,8.52%
tclroku,87.5%,68.75%,18.75%
yeelight4,92.61%,84.66%,7.95%
lifx,96.02%,88.64%,7.39%
googlehome,88.64%,64.77%,23.86%
yibefb,94.89%,88.07%,6.82%
weekett,90.91%,84.09%,6.82%
amcrest266e,78.98%,72.73%,6.25%
nestmini2,90.91%,85.23%,5.68%
honeywell,96.59%,92.61%,3.98%
levoit,96.59%,93.18%,3.41%
echospot,84.09%,80.68%,3.41%
homepod,75.00%,72.16%,2.84%
hualai,96.59%,96.59%,0.00%
wiz,90.91%,90.91%,0.00%
bluram6da9,92.05%,92.61%,-0.57%
swan,94.89%,95.45%,-0.57%
fitop,96.59%,98.30%,-1.70%
sonos,97.67%,69.32%,28.36%
samsungtv,70.45%,69.32%,1.14%
boifun80c0,88.07%,92.61%,-4.55%
tapo,90.91%,95.45%,-4.55%
LGtv,97.16%,77.27%,19.89%
