devices,icmp_acc,icmp_f1,os_acc,os_f1,syn_acc,syn_f1,scan_acc,scan_f1,,
cosori,78.02%,66.74%,70.33%,47.51%,65.93%,49.42%,72.53%,60.65%,,
honeywell,94.44%,92.99%,95.56%,94.46%,92.22%,88.54%,94.44%,92.99%,,
levoit,97.78%,96.99%,98.89%,98.56%,90.00%,85.27%,92.22%,90.19%,,
swan,91.21%,87.62%,87.78%,82.00%,95.60%,94.18%,90.11%,84.73%,,
weekett,90.11%,85.83%,84.62%,78.33%,83.52%,73.47%,92.31%,90.68%,,
xiaomiblender,92.31%,90.23%,81.11%,74.03%,80.22%,75.77%,90.00%,87.04%,,
bose,76.67%,62.76%,75.56%,56.00%,75.56%,67.88%,78.89%,68.90%,,
echodot3,75.00%,59.90%,72.22%,61.81%,88.89%,83.93%,83.33%,74.48%,,
echodot5,66.67%,53.42%,67.03%,56.36%,72.53%,59.21%,86.67%,79.99%,,M
echospot,89.01%,86.21%,83.33%,80.74%,82.22%,73.31%,75.82%,73.09%,,
googlehome,56.67%,47.85%,74.44%,60.88%,72.22%,57.47%,74.73%,60.99%,,
homepod,74.73%,62.47%,76.67%,56.84%,71.11%,50.59%,79.12%,71.07%,,
nestmini2,70.00%,68.27%,97.78%,96.89%,83.33%,74.48%,100.00%,100.00%,,
sonos,61.18%,50.13%,77.38%,55.36%,69.41%,54.19%,79.07%,63.66%,,
amcrest266e,71.11%,62.04%,71.11%,52.86%,62.22%,45.36%,84.44%,81.07%,,
bluram6da9,96.70%,95.81%,84.62%,80.70%,91.11%,87.58%,94.44%,92.59%,,
boifun80c0,84.44%,77.50%,85.71%,80.21%,85.71%,80.21%,89.01%,83.37%,,
eufy133a,65.93%,47.42%,76.92%,51.31%,72.53%,57.60%,71.43%,58.35%,,
eufyb0c2,71.11%,41.56%,67.03%,43.13%,72.53%,48.73%,72.53%,51.40%,,
google1d15,87.91%,84.22%,74.73%,55.29%,81.32%,73.24%,77.78%,69.92%,,
hualai,98.90%,98.57%,97.78%,97.16%,96.67%,95.56%,100.00%,100.00%,,
yibefb,82.22%,72.22%,84.44%,80.11%,80.00%,67.37%,90.00%,86.25%,,
antela,95.56%,94.32%,78.89%,68.90%,63.33%,59.71%,85.56%,77.89%,,
fitop,98.90%,98.52%,97.78%,97.08%,94.51%,92.62%,96.70%,95.57%,,
lepro,93.33%,91.48%,93.33%,90.98%,87.78%,81.29%,87.78%,82.63%,,
lifx,95.56%,93.98%,91.21%,88.97%,89.01%,84.52%,95.60%,94.48%,,
tapo,96.67%,95.68%,93.41%,91.51%,94.44%,92.36%,97.78%,96.99%,,
wiz,93.41%,91.27%,88.89%,85.40%,83.33%,74.48%,93.33%,90.98%,,
yeelight4,92.31%,89.96%,80.22%,77.62%,92.31%,88.58%,92.22%,89.63%,,
appletv,88.51%,85.62%,76.14%,71.65%,86.36%,79.86%,95.51%,93.77%,,
LGtv,50.00%,46.51%,78.89%,71.85%,76.67%,56.84%,63.33%,49.58%,,
samsungtv,70.33%,57.50%,67.78%,40.40%,71.11%,50.59%,63.74%,44.03%,,
samsungtvsmall,75.82%,64.75%,69.39%,46.62%,79.12%,66.39%,76.92%,54.34%,,
tclroku,74.44%,49.89%,69.23%,56.67%,81.11%,71.08%,73.33%,49.25%,,
toshiba,77.78%,72.31%,86.67%,79.99%,75.56%,69.54%,80.22%,67.45%,,
