2025-11-25 20:08:43,891 - INFO - loaded macs {'mac': '54:60:09:6f:32:84', 'plug_mac': 'ac:15:a2:4c:d0:d0', 'pi_mac': 'd8:3a:dd:17:23:ef'}
2025-11-25 20:09:00,157 - INFO - experiment config {'modes': ['idle_attack', 'idle'], 'device_label': 'Googlehome', 'attacks': ['syn_flood', 'icmp_flood', 'port_scan', 'os_fingerprint'], 'tapo_email': 'iotlabucl@gmail.com', 'tapo_password': 'IoTlabUCL', 'pi_user': 'yuanyuan', 'device_folder': 'googlehome', 'pcap_dir': '/data/disk1/powerguard/new', 'interval': 1, 'settle_time': 60, 'duration': 2400, 'log_path': 'googlehome.log', 'mac_address': '54:60:09:6f:32:84', 'plug_mac': 'ac:15:a2:4c:d0:d0', 'pi_mac': 'd8:3a:dd:17:23:ef', 'plug_ip': '192.168.40.137', 'pi_ip': '10.10.0.197', 'device_ip': '10.10.0.203'}
2025-11-25 20:09:00,158 - INFO - starting idle monitoring
2025-11-25 20:09:00,358 - INFO - [START] Power logging: googlehome/idle
2025-11-25 20:09:00,388 - INFO - 2025-11-25T20:09:00.388484 | 2156 mW | under_attack=0
2025-11-25 20:09:01,417 - INFO - 2025-11-25T20:09:01.417193 | 2103 mW | under_attack=0
2025-11-25 20:09:02,447 - INFO - 2025-11-25T20:09:02.447447 | 2103 mW | under_attack=0
2025-11-25 20:09:03,475 - INFO - 2025-11-25T20:09:03.475667 | 2124 mW | under_attack=0
2025-11-25 20:09:04,515 - INFO - 2025-11-25T20:09:04.515588 | 2124 mW | under_attack=0
2025-11-25 20:09:05,570 - INFO - 2025-11-25T20:09:05.569942 | 2125 mW | under_attack=0
2025-11-25 20:09:06,657 - INFO - 2025-11-25T20:09:06.657507 | 2101 mW | under_attack=0
2025-11-25 20:09:07,753 - INFO - 2025-11-25T20:09:07.753144 | 2101 mW | under_attack=0
2025-11-25 20:09:08,782 - INFO - 2025-11-25T20:09:08.782263 | 2117 mW | under_attack=0
2025-11-25 20:09:09,811 - INFO - 2025-11-25T20:09:09.811684 | 2117 mW | under_attack=0
2025-11-25 20:09:10,895 - INFO - 2025-11-25T20:09:10.895230 | 2085 mW | under_attack=0
2025-11-25 20:09:11,945 - INFO - 2025-11-25T20:09:11.945829 | 2085 mW | under_attack=0
2025-11-25 20:09:12,988 - INFO - 2025-11-25T20:09:12.988516 | 2070 mW | under_attack=0
2025-11-25 20:09:14,048 - INFO - 2025-11-25T20:09:14.048331 | 2070 mW | under_attack=0
2025-11-25 20:09:15,089 - INFO - 2025-11-25T20:09:15.089341 | 2090 mW | under_attack=0
2025-11-25 20:09:16,224 - INFO - 2025-11-25T20:09:16.224023 | 2090 mW | under_attack=0
