2025-11-26 17:16:22,782 - INFO - loaded macs {'mac': 'b8:16:5f:ef:fb:58', 'plug_mac': 'ac:15:a2:46:9e:82', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-26 17:16:24,337 - INFO - experiment config {'modes': ['idle_attack', 'idle'], 'device_label': 'LGtv', 'attacks': ['syn_flood', 'icmp_flood', 'port_scan', 'os_fingerprint'], 'tapo_email': 'iotlabucl@gmail.com', 'tapo_password': 'IoTlabUCL', 'pi_user': 'pi', 'device_folder': 'LGtv', 'pcap_dir': '/data/disk1/powerguard/new', 'interval': 1, 'settle_time': 60, 'duration': 2400, 'log_path': 'logs/LGtv.log', 'mac_address': 'b8:16:5f:ef:fb:58', 'plug_mac': 'ac:15:a2:46:9e:82', 'pi_mac': 'd8:3a:dd:17:22:30', 'plug_ip': '192.168.40.125', 'pi_ip': '10.10.0.106', 'device_ip': '10.10.0.211'}
2025-11-26 17:16:24,337 - INFO - starting idle monitoring
2025-11-26 17:16:24,538 - INFO - [START] Power logging: LGtv/idle
2025-11-26 17:16:24,567 - INFO - 2025-11-26T17:16:24.567637 | 29860 mW | under_attack=0
2025-11-26 17:16:25,597 - INFO - 2025-11-26T17:16:25.597338 | 29879 mW | under_attack=0
2025-11-26 17:16:26,627 - INFO - 2025-11-26T17:16:26.627760 | 29847 mW | under_attack=0
2025-11-26 17:16:27,680 - INFO - 2025-11-26T17:16:27.680232 | 29853 mW | under_attack=0
2025-11-26 17:16:28,714 - INFO - 2025-11-26T17:16:28.714712 | 30012 mW | under_attack=0
2025-11-26 17:16:29,756 - INFO - 2025-11-26T17:16:29.756714 | 29847 mW | under_attack=0
2025-11-26 17:16:30,786 - INFO - 2025-11-26T17:16:30.786495 | 29842 mW | under_attack=0
2025-11-26 17:16:31,815 - INFO - 2025-11-26T17:16:31.815604 | 29943 mW | under_attack=0
2025-11-26 17:16:32,845 - INFO - 2025-11-26T17:16:32.845418 | 29838 mW | under_attack=0
2025-11-26 17:16:33,875 - INFO - 2025-11-26T17:16:33.875301 | 29813 mW | under_attack=0
2025-11-26 17:16:34,909 - INFO - 2025-11-26T17:16:34.909287 | 29887 mW | under_attack=0
2025-11-26 17:16:35,940 - INFO - 2025-11-26T17:16:35.940320 | 29806 mW | under_attack=0
2025-11-26 17:16:36,971 - INFO - 2025-11-26T17:16:36.971724 | 29896 mW | under_attack=0
2025-11-26 17:16:38,061 - INFO - 2025-11-26T17:16:38.061045 | 29887 mW | under_attack=0
2025-11-26 17:16:39,094 - INFO - 2025-11-26T17:16:39.094250 | 29853 mW | under_attack=0
2025-11-26 17:16:40,151 - INFO - 2025-11-26T17:16:40.151549 | 29827 mW | under_attack=0
2025-11-26 17:16:41,197 - INFO - 2025-11-26T17:16:41.196920 | 29798 mW | under_attack=0
2025-11-26 17:16:42,226 - INFO - 2025-11-26T17:16:42.226249 | 29824 mW | under_attack=0
2025-11-26 17:16:43,272 - INFO - 2025-11-26T17:16:43.271931 | 29846 mW | under_attack=0
2025-11-26 17:16:44,303 - INFO - 2025-11-26T17:16:44.303001 | 29886 mW | under_attack=0
2025-11-26 17:16:45,332 - INFO - 2025-11-26T17:16:45.332555 | 29778 mW | under_attack=0
2025-11-26 17:16:46,362 - INFO - 2025-11-26T17:16:46.362743 | 29897 mW | under_attack=0
2025-11-26 17:16:47,392 - INFO - 2025-11-26T17:16:47.392643 | 29871 mW | under_attack=0
2025-11-26 17:16:48,421 - INFO - 2025-11-26T17:16:48.421743 | 29873 mW | under_attack=0
2025-11-26 17:16:49,454 - INFO - 2025-11-26T17:16:49.454013 | 29825 mW | under_attack=0
2025-11-26 17:16:50,484 - INFO - 2025-11-26T17:16:50.484779 | 29923 mW | under_attack=0
2025-11-26 17:16:51,514 - INFO - 2025-11-26T17:16:51.514667 | 29900 mW | under_attack=0
2025-11-26 17:16:52,545 - INFO - 2025-11-26T17:16:52.544882 | 29921 mW | under_attack=0
2025-11-26 17:16:53,587 - INFO - 2025-11-26T17:16:53.587408 | 29839 mW | under_attack=0
2025-11-26 17:16:54,616 - INFO - 2025-11-26T17:16:54.616772 | 29825 mW | under_attack=0
