2025-11-27 17:53:03,317 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:2c:f7', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 17:53:43,991 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:2c:f7', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:02:29,489 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:3c:ce', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:02:30,832 - ERROR - cannot resolve ip addresses
2025-11-27 18:02:51,303 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:3c:ce', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:02:52,711 - ERROR - cannot resolve ip addresses
2025-11-27 18:06:17,270 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:3c:ce', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:10:28,429 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '9c:a2:f4:6e:cf:e8', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:12:16,606 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:2c:7d', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:17:09,382 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:2c:7b', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:17:22,644 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:2c:7b', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:17:59,406 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:2c:7b', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:20:24,449 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:2c:7b', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-27 18:29:55,605 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:44:40', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-28 10:02:35,856 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:44:40', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-28 10:22:23,120 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '30:de:4b:4d:44:40', 'pi_mac': 'd8:3a:dd:17:22:30'}
2025-11-28 16:24:55,873 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '1c:61:b4:ce:4b:33', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-28 16:24:57,527 - ERROR - cannot resolve ip addresses
2025-11-28 16:25:58,010 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': '1c:61:b4:ce:4b:33', 'pi_mac': 'd8:3a:dd:15:42:42'}
2025-11-28 16:29:51,222 - INFO - loaded macs {'mac': '9c:9c:1f:91:e1:b6', 'plug_mac': 'ac:15:a2:46:9c:26', 'pi_mac': 'd8:3a:dd:15:42:42'}
2025-11-28 16:29:52,860 - INFO - experiment config {'modes': ['idle', 'idle_attack'], 'device_label': 'cosori', 'attacks': ['syn_flood', 'icmp_flood', 'port_scan', 'os_fingerprint'], 'tapo_email': 'iotlabucl@gmail.com', 'tapo_password': 'IoTlabUCL', 'pi_user': 'pi4', 'device_folder': 'cosori', 'pcap_dir': '/data/disk1/powerguard/new', 'interval': 1, 'settle_time': 60, 'duration': 2400, 'log_path': 'logs/cosori.log', 'mac_address': '9c:9c:1f:91:e1:b6', 'plug_mac': 'ac:15:a2:46:9c:26', 'pi_mac': 'd8:3a:dd:15:42:42', 'plug_ip': '192.168.40.136', 'pi_ip': '10.10.0.157', 'device_ip': '10.10.0.163'}
2025-11-28 16:29:52,860 - INFO - starting idle monitoring
2025-11-28 16:29:53,060 - INFO - [START] Power logging: cosori/idle
2025-11-28 16:29:53,090 - INFO - 2025-11-28T16:29:53.090404 | 733 mW | under_attack=0
2025-11-28 16:29:54,121 - INFO - 2025-11-28T16:29:54.121252 | 733 mW | under_attack=0
2025-11-28 16:29:55,152 - INFO - 2025-11-28T16:29:55.151952 | 733 mW | under_attack=0
2025-11-28 16:29:56,193 - INFO - 2025-11-28T16:29:56.193294 | 796 mW | under_attack=0
2025-11-28 16:29:57,224 - INFO - 2025-11-28T16:29:57.224690 | 796 mW | under_attack=0
2025-11-28 16:29:58,268 - INFO - 2025-11-28T16:29:58.268160 | 796 mW | under_attack=0
2025-11-28 16:29:59,297 - INFO - 2025-11-28T16:29:59.297610 | 796 mW | under_attack=0
2025-11-28 16:30:00,327 - INFO - 2025-11-28T16:30:00.327659 | 791 mW | under_attack=0
2025-11-28 16:30:01,362 - INFO - 2025-11-28T16:30:01.361999 | 791 mW | under_attack=0
2025-11-28 16:30:02,392 - INFO - 2025-11-28T16:30:02.392265 | 791 mW | under_attack=0
2025-11-28 16:30:03,423 - INFO - 2025-11-28T16:30:03.423203 | 769 mW | under_attack=0
2025-11-28 16:30:04,453 - INFO - 2025-11-28T16:30:04.453775 | 769 mW | under_attack=0
2025-11-28 16:30:05,483 - INFO - 2025-11-28T16:30:05.483541 | 769 mW | under_attack=0
2025-11-28 16:30:06,537 - INFO - 2025-11-28T16:30:06.537808 | 769 mW | under_attack=0
2025-11-28 16:30:07,585 - INFO - 2025-11-28T16:30:07.585870 | 788 mW | under_attack=0
2025-11-28 16:30:08,629 - INFO - 2025-11-28T16:30:08.629562 | 788 mW | under_attack=0
2025-11-28 16:30:09,661 - INFO - 2025-11-28T16:30:09.661608 | 788 mW | under_attack=0
2025-11-28 16:30:10,696 - INFO - 2025-11-28T16:30:10.696108 | 787 mW | under_attack=0
2025-11-28 16:30:11,727 - INFO - 2025-11-28T16:30:11.727215 | 787 mW | under_attack=0
2025-11-28 16:30:12,757 - INFO - 2025-11-28T16:30:12.757362 | 787 mW | under_attack=0
2025-11-28 16:30:13,787 - INFO - 2025-11-28T16:30:13.787469 | 787 mW | under_attack=0
2025-11-28 16:30:14,830 - INFO - 2025-11-28T16:30:14.830497 | 754 mW | under_attack=0
2025-11-28 16:30:15,860 - INFO - 2025-11-28T16:30:15.860406 | 754 mW | under_attack=0
2025-11-28 16:30:16,907 - INFO - 2025-11-28T16:30:16.907374 | 754 mW | under_attack=0
2025-11-28 16:30:17,938 - INFO - 2025-11-28T16:30:17.938212 | 817 mW | under_attack=0
2025-11-28 16:30:18,969 - INFO - 2025-11-28T16:30:18.969171 | 817 mW | under_attack=0
2025-11-28 16:30:19,999 - INFO - 2025-11-28T16:30:19.999356 | 817 mW | under_attack=0
2025-11-28 16:30:21,033 - INFO - 2025-11-28T16:30:21.033359 | 780 mW | under_attack=0
2025-11-28 16:30:22,063 - INFO - 2025-11-28T16:30:22.063339 | 780 mW | under_attack=0
2025-11-28 16:30:23,092 - INFO - 2025-11-28T16:30:23.092765 | 780 mW | under_attack=0
2025-11-28 16:30:24,150 - INFO - 2025-11-28T16:30:24.150269 | 780 mW | under_attack=0
2025-11-28 16:30:25,180 - INFO - 2025-11-28T16:30:25.180277 | 730 mW | under_attack=0
2025-11-28 16:30:26,224 - INFO - 2025-11-28T16:30:26.224496 | 730 mW | under_attack=0
2025-11-28 16:30:27,254 - INFO - 2025-11-28T16:30:27.254386 | 730 mW | under_attack=0
2025-11-28 16:30:28,284 - INFO - 2025-11-28T16:30:28.284407 | 799 mW | under_attack=0
2025-11-28 16:30:29,314 - INFO - 2025-11-28T16:30:29.313938 | 799 mW | under_attack=0
2025-11-28 16:30:30,344 - INFO - 2025-11-28T16:30:30.344816 | 799 mW | under_attack=0
2025-11-28 16:30:31,375 - INFO - 2025-11-28T16:30:31.374878 | 831 mW | under_attack=0
2025-11-28 16:30:32,405 - INFO - 2025-11-28T16:30:32.405620 | 831 mW | under_attack=0
2025-11-28 16:30:33,471 - INFO - 2025-11-28T16:30:33.471034 | 831 mW | under_attack=0
2025-11-28 16:30:34,518 - INFO - 2025-11-28T16:30:34.518582 | 831 mW | under_attack=0
2025-11-28 16:30:35,552 - INFO - 2025-11-28T16:30:35.552392 | 717 mW | under_attack=0
2025-11-28 16:30:36,585 - INFO - 2025-11-28T16:30:36.585538 | 717 mW | under_attack=0
2025-11-28 16:30:37,622 - INFO - 2025-11-28T16:30:37.622497 | 717 mW | under_attack=0
2025-11-28 16:30:38,656 - INFO - 2025-11-28T16:30:38.656269 | 717 mW | under_attack=0
