2025-11-26 18:34:45,441 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': 'ac:15:a2:46:9B:90', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 18:35:13,248 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': 'ac:15:a2:46:9b:90', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 18:38:36,152 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': 'ac:15:a2:46:9b:90', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 19:00:01,338 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': 'ac:15:a2:46:9b:90', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 19:01:24,260 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': 'ac:15:a2:46:9b:90', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 19:04:24,287 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': 'ac:15:a2:46:9b:90', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 21:08:43,585 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': 'ac:15:a2:46:9e:d2', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 21:12:53,620 - INFO - loaded macs {'mac': '04:17:b6:55:13:3a', 'plug_mac': '30:de:4b:4d:82:ae', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-26 21:12:54,590 - INFO - experiment config {'modes': ['idle', 'idle_attack'], 'device_label': 'eufy133a', 'attacks': ['syn_flood', 'icmp_flood', 'port_scan', 'os_fingerprint'], 'tapo_email': 'iotlabucl@gmail.com', 'tapo_password': 'IoTlabUCL', 'pi_user': 'pi4', 'device_folder': 'eufy133a', 'pcap_dir': '/data/disk1/powerguard/new', 'interval': 1, 'settle_time': 60, 'duration': 2400, 'log_path': 'logs/eufy133a.log', 'mac_address': '04:17:b6:55:13:3a', 'plug_mac': '30:de:4b:4d:82:ae', 'pi_mac': 'd8:3a:dd:15:42:93', 'plug_ip': '192.168.40.120', 'pi_ip': '10.10.0.201', 'device_ip': '10.10.0.161'}
2025-11-26 21:12:54,590 - INFO - starting idle monitoring
2025-11-26 21:12:54,793 - INFO - [START] Power logging: eufy133a/idle
2025-11-26 21:12:54,840 - INFO - 2025-11-26T21:12:54.840470 | 8051 mW | under_attack=0
2025-11-26 21:12:55,872 - INFO - 2025-11-26T21:12:55.872025 | 8075 mW | under_attack=0
2025-11-26 21:12:56,901 - INFO - 2025-11-26T21:12:56.901872 | 8075 mW | under_attack=0
2025-11-26 21:12:57,957 - INFO - 2025-11-26T21:12:57.957685 | 8015 mW | under_attack=0
2025-11-26 21:12:58,987 - INFO - 2025-11-26T21:12:58.987820 | 8015 mW | under_attack=0
2025-11-26 21:13:00,031 - INFO - 2025-11-26T21:13:00.031629 | 8141 mW | under_attack=0
2025-11-26 21:13:01,070 - INFO - 2025-11-26T21:13:01.070071 | 8082 mW | under_attack=0
2025-11-26 21:13:02,099 - INFO - 2025-11-26T21:13:02.099263 | 8082 mW | under_attack=0
2025-11-26 21:13:03,130 - INFO - 2025-11-26T21:13:03.129877 | 7978 mW | under_attack=0
2025-11-26 21:13:04,172 - INFO - 2025-11-26T21:13:04.172835 | 7978 mW | under_attack=0
2025-11-26 21:13:05,202 - INFO - 2025-11-26T21:13:05.202245 | 8020 mW | under_attack=0
2025-11-26 21:13:06,233 - INFO - 2025-11-26T21:13:06.233568 | 8020 mW | under_attack=0
2025-11-26 21:13:07,276 - INFO - 2025-11-26T21:13:07.276708 | 7965 mW | under_attack=0
2025-11-26 21:13:08,307 - INFO - 2025-11-26T21:13:08.306994 | 7965 mW | under_attack=0
2025-11-26 21:13:09,359 - INFO - 2025-11-26T21:13:09.359600 | 7906 mW | under_attack=0
2025-11-26 21:13:10,394 - INFO - 2025-11-26T21:13:10.393912 | 7906 mW | under_attack=0
2025-11-26 21:13:11,423 - INFO - 2025-11-26T21:13:11.423290 | 7929 mW | under_attack=0
2025-11-26 21:13:12,453 - INFO - 2025-11-26T21:13:12.453270 | 7929 mW | under_attack=0
2025-11-26 21:13:13,484 - INFO - 2025-11-26T21:13:13.483958 | 7968 mW | under_attack=0
2025-11-26 21:13:14,525 - INFO - 2025-11-26T21:13:14.525039 | 7855 mW | under_attack=0
2025-11-26 21:13:15,571 - INFO - 2025-11-26T21:13:15.571624 | 7855 mW | under_attack=0
2025-11-26 21:13:16,603 - INFO - 2025-11-26T21:13:16.602906 | 7940 mW | under_attack=0
2025-11-26 21:13:17,644 - INFO - 2025-11-26T21:13:17.643897 | 7940 mW | under_attack=0
2025-11-26 21:13:18,686 - INFO - 2025-11-26T21:13:18.686317 | 7903 mW | under_attack=0
2025-11-26 21:13:19,719 - INFO - 2025-11-26T21:13:19.719358 | 7903 mW | under_attack=0
