2025-11-26 21:18:49,768 - INFO - loaded macs {'mac': '04:17:b6:7f:b0:c2', 'plug_mac': '30:de:4b:4d:2c:f7', 'pi_mac': 'd8:3a:dd:17:23:ef'}
2025-11-26 21:18:51,219 - INFO - experiment config {'modes': ['active', 'active_attack'], 'device_label': 'eufyb0c2', 'attacks': ['syn_flood', 'icmp_flood', 'port_scan', 'os_fingerprint'], 'tapo_email': 'iotlabucl@gmail.com', 'tapo_password': 'IoTlabUCL', 'pi_user': 'yuanyuan', 'device_folder': 'eufyb0c2', 'pcap_dir': '/data/disk1/powerguard/new', 'interval': 1, 'settle_time': 60, 'duration': 2400, 'log_path': 'logs/eufyb0c2.log', 'mac_address': '04:17:b6:7f:b0:c2', 'plug_mac': '30:de:4b:4d:2c:f7', 'pi_mac': 'd8:3a:dd:17:23:ef', 'plug_ip': '192.168.40.132', 'pi_ip': '10.10.0.197', 'device_ip': '10.10.0.231'}
2025-11-26 21:18:51,220 - INFO - starting active monitoring
2025-11-26 21:18:55,438 - INFO - [START] Power logging: eufyb0c2/active
2025-11-26 21:18:55,469 - INFO - 2025-11-26T21:18:55.468947 | 0 mW | under_attack=0
2025-11-26 21:18:56,509 - INFO - 2025-11-26T21:18:56.508947 | 0 mW | under_attack=0
2025-11-26 21:18:57,538 - INFO - 2025-11-26T21:18:57.538702 | 0 mW | under_attack=0
2025-11-26 21:18:58,568 - INFO - 2025-11-26T21:18:58.568450 | 0 mW | under_attack=0
2025-11-26 21:18:59,613 - INFO - 2025-11-26T21:18:59.613118 | 0 mW | under_attack=0
2025-11-26 21:19:00,658 - INFO - 2025-11-26T21:19:00.658356 | 0 mW | under_attack=0
2025-11-26 21:19:01,687 - INFO - 2025-11-26T21:19:01.687508 | 0 mW | under_attack=0
2025-11-26 21:19:02,734 - INFO - 2025-11-26T21:19:02.733899 | 0 mW | under_attack=0
2025-11-26 21:19:03,763 - INFO - 2025-11-26T21:19:03.763668 | 0 mW | under_attack=0
2025-11-26 21:19:04,793 - INFO - 2025-11-26T21:19:04.793135 | 0 mW | under_attack=0
2025-11-26 21:19:05,822 - INFO - 2025-11-26T21:19:05.822536 | 0 mW | under_attack=0
2025-11-26 21:19:06,852 - INFO - 2025-11-26T21:19:06.852643 | 0 mW | under_attack=0
2025-11-26 21:19:07,881 - INFO - 2025-11-26T21:19:07.881442 | 0 mW | under_attack=0
2025-11-26 21:19:08,922 - INFO - 2025-11-26T21:19:08.922158 | 0 mW | under_attack=0
2025-11-26 21:19:09,952 - INFO - 2025-11-26T21:19:09.952118 | 0 mW | under_attack=0
2025-11-26 21:19:10,983 - INFO - 2025-11-26T21:19:10.983523 | 0 mW | under_attack=0
2025-11-26 21:19:12,025 - INFO - 2025-11-26T21:19:12.025014 | 0 mW | under_attack=0
2025-11-26 21:19:13,054 - INFO - 2025-11-26T21:19:13.054771 | 0 mW | under_attack=0
2025-11-26 21:19:14,100 - INFO - 2025-11-26T21:19:14.100746 | 0 mW | under_attack=0
2025-11-26 21:19:15,132 - INFO - 2025-11-26T21:19:15.132112 | 0 mW | under_attack=0
2025-11-26 21:19:16,168 - INFO - 2025-11-26T21:19:16.168742 | 0 mW | under_attack=0
2025-11-26 21:19:17,199 - INFO - 2025-11-26T21:19:17.198926 | 0 mW | under_attack=0
2025-11-26 21:19:18,230 - INFO - 2025-11-26T21:19:18.230749 | 0 mW | under_attack=0
2025-11-26 21:19:19,262 - INFO - 2025-11-26T21:19:19.262542 | 0 mW | under_attack=0
2025-11-26 21:19:20,292 - INFO - 2025-11-26T21:19:20.292505 | 0 mW | under_attack=0
2025-11-26 21:19:21,345 - INFO - 2025-11-26T21:19:21.345295 | 0 mW | under_attack=0
2025-11-26 21:19:22,375 - INFO - 2025-11-26T21:19:22.375161 | 0 mW | under_attack=0
2025-11-26 21:19:23,418 - INFO - 2025-11-26T21:19:23.418714 | 0 mW | under_attack=0
2025-11-26 21:19:24,448 - INFO - 2025-11-26T21:19:24.448591 | 0 mW | under_attack=0
2025-11-26 21:19:25,478 - INFO - 2025-11-26T21:19:25.478135 | 0 mW | under_attack=0
2025-11-26 21:19:26,511 - INFO - 2025-11-26T21:19:26.510929 | 0 mW | under_attack=0
2025-11-26 21:19:27,539 - INFO - 2025-11-26T21:19:27.539317 | 0 mW | under_attack=0
2025-11-26 21:19:28,570 - INFO - 2025-11-26T21:19:28.570036 | 0 mW | under_attack=0
2025-11-26 21:19:29,599 - INFO - 2025-11-26T21:19:29.599086 | 0 mW | under_attack=0
2025-11-26 21:19:30,642 - INFO - 2025-11-26T21:19:30.642244 | 0 mW | under_attack=0
2025-11-26 21:19:31,688 - INFO - 2025-11-26T21:19:31.688348 | 0 mW | under_attack=0
2025-11-26 21:19:32,717 - INFO - 2025-11-26T21:19:32.717547 | 0 mW | under_attack=0
2025-11-26 21:19:33,760 - INFO - 2025-11-26T21:19:33.760097 | 0 mW | under_attack=0
2025-11-26 21:19:34,790 - INFO - 2025-11-26T21:19:34.790644 | 0 mW | under_attack=0
