2025-11-26 15:10:47,740 - INFO - loaded macs {'mac': 'b0:99:d7:2d:54:20', 'plug_mac': '30:de:4b:4d:84:6e', 'pi_mac': 'd8:3a:dd:15:42:42'}
2025-11-26 15:10:49,317 - INFO - experiment config {'modes': ['active', 'active_attack'], 'device_label': 'samsungtvsmall', 'attacks': ['syn_flood', 'icmp_flood', 'port_scan', 'os_fingerprint'], 'tapo_email': 'iotlabucl@gmail.com', 'tapo_password': 'IoTlabUCL', 'pi_user': 'pi3', 'device_folder': 'samsungtvsmall', 'pcap_dir': '/data/disk1/powerguard/new', 'interval': 1, 'settle_time': 60, 'duration': 2400, 'log_path': 'logs/samsmall.log', 'mac_address': 'b0:99:d7:2d:54:20', 'plug_mac': '30:de:4b:4d:84:6e', 'pi_mac': 'd8:3a:dd:15:42:42', 'plug_ip': '192.168.40.128', 'pi_ip': '10.10.0.157', 'device_ip': '10.10.0.234'}
2025-11-26 15:10:49,317 - INFO - starting active monitoring
2025-11-26 15:10:49,519 - INFO - [START] Power logging: samsungtvsmall/active
2025-11-26 15:10:49,555 - INFO - 2025-11-26T15:10:49.555589 | 23781 mW | under_attack=0
2025-11-26 15:10:50,597 - INFO - 2025-11-26T15:10:50.597028 | 23889 mW | under_attack=0
2025-11-26 15:10:51,636 - INFO - 2025-11-26T15:10:51.636385 | 23654 mW | under_attack=0
2025-11-26 15:10:52,683 - INFO - 2025-11-26T15:10:52.683270 | 23824 mW | under_attack=0
2025-11-26 15:10:53,730 - INFO - 2025-11-26T15:10:53.730868 | 23921 mW | under_attack=0
2025-11-26 15:10:54,760 - INFO - 2025-11-26T15:10:54.760630 | 23950 mW | under_attack=0
2025-11-26 15:10:55,791 - INFO - 2025-11-26T15:10:55.791334 | 23703 mW | under_attack=0
2025-11-26 15:10:56,882 - INFO - 2025-11-26T15:10:56.882433 | 23999 mW | under_attack=0
2025-11-26 15:10:57,929 - INFO - 2025-11-26T15:10:57.929272 | 23489 mW | under_attack=0
2025-11-26 15:10:58,988 - INFO - 2025-11-26T15:10:58.988234 | 23700 mW | under_attack=0
2025-11-26 15:11:00,017 - INFO - 2025-11-26T15:11:00.017438 | 23729 mW | under_attack=0
2025-11-26 15:11:01,091 - INFO - 2025-11-26T15:11:01.091444 | 23620 mW | under_attack=0
2025-11-26 15:11:02,131 - INFO - 2025-11-26T15:11:02.131474 | 23666 mW | under_attack=0
2025-11-26 15:11:03,166 - INFO - 2025-11-26T15:11:03.166199 | 23875 mW | under_attack=0
2025-11-26 15:11:04,197 - INFO - 2025-11-26T15:11:04.197853 | 23694 mW | under_attack=0
2025-11-26 15:11:05,228 - INFO - 2025-11-26T15:11:05.228285 | 23779 mW | under_attack=0
2025-11-26 15:11:06,263 - INFO - 2025-11-26T15:11:06.263852 | 23776 mW | under_attack=0
2025-11-26 15:11:07,327 - INFO - 2025-11-26T15:11:07.326990 | 23592 mW | under_attack=0
2025-11-26 15:11:08,375 - INFO - 2025-11-26T15:11:08.375243 | 23759 mW | under_attack=0
2025-11-26 15:11:09,474 - INFO - 2025-11-26T15:11:09.474852 | 23853 mW | under_attack=0
2025-11-26 15:11:10,503 - INFO - 2025-11-26T15:11:10.503758 | 23737 mW | under_attack=0
2025-11-26 15:11:11,546 - INFO - 2025-11-26T15:11:11.546369 | 23771 mW | under_attack=0
2025-11-26 15:11:12,574 - INFO - 2025-11-26T15:11:12.574880 | 23896 mW | under_attack=0
2025-11-26 15:11:13,615 - INFO - 2025-11-26T15:11:13.615288 | 23547 mW | under_attack=0
2025-11-26 15:11:14,648 - INFO - 2025-11-26T15:11:14.647953 | 23776 mW | under_attack=0
2025-11-26 15:11:15,680 - INFO - 2025-11-26T15:11:15.680082 | 23577 mW | under_attack=0
2025-11-26 15:11:16,713 - INFO - 2025-11-26T15:11:16.713636 | 23545 mW | under_attack=0
2025-11-26 15:11:17,743 - INFO - 2025-11-26T15:11:17.743050 | 23738 mW | under_attack=0
2025-11-26 15:11:18,794 - INFO - 2025-11-26T15:11:18.794845 | 23698 mW | under_attack=0
2025-11-26 15:11:19,824 - INFO - 2025-11-26T15:11:19.824172 | 23792 mW | under_attack=0
2025-11-26 15:11:20,869 - INFO - 2025-11-26T15:11:20.868922 | 24040 mW | under_attack=0
2025-11-26 15:11:21,913 - INFO - 2025-11-26T15:11:21.913347 | 23729 mW | under_attack=0
2025-11-26 15:11:22,951 - INFO - 2025-11-26T15:11:22.951544 | 24001 mW | under_attack=0
2025-11-26 15:11:24,020 - INFO - 2025-11-26T15:11:24.020842 | 23830 mW | under_attack=0
2025-11-26 15:11:25,065 - INFO - 2025-11-26T15:11:25.065455 | 23918 mW | under_attack=0
2025-11-26 15:11:26,102 - INFO - 2025-11-26T15:11:26.102784 | 24154 mW | under_attack=0
2025-11-26 15:11:27,131 - INFO - 2025-11-26T15:11:27.131701 | 24038 mW | under_attack=0
2025-11-26 15:11:28,166 - INFO - 2025-11-26T15:11:28.166434 | 24070 mW | under_attack=0
2025-11-26 15:11:29,200 - INFO - 2025-11-26T15:11:29.200339 | 24170 mW | under_attack=0
2025-11-26 15:11:30,243 - INFO - 2025-11-26T15:11:30.243427 | 23980 mW | under_attack=0
2025-11-26 15:11:31,295 - INFO - 2025-11-26T15:11:31.295394 | 24042 mW | under_attack=0
2025-11-26 15:11:32,351 - INFO - 2025-11-26T15:11:32.351036 | 24299 mW | under_attack=0
2025-11-26 15:11:33,402 - INFO - 2025-11-26T15:11:33.402184 | 23981 mW | under_attack=0
2025-11-26 15:11:34,430 - INFO - 2025-11-26T15:11:34.430298 | 24212 mW | under_attack=0
2025-11-26 15:11:35,486 - INFO - 2025-11-26T15:11:35.486718 | 24266 mW | under_attack=0
2025-11-26 15:11:36,535 - INFO - 2025-11-26T15:11:36.535874 | 23955 mW | under_attack=0
