2025-11-28 10:21:31,088 - INFO - loaded macs {'mac': 'bc:df:58:5f:bd:ca', 'plug_mac': 'ac:15:a2:46:93:66', 'pi_mac': 'd8:3a:dd:15:42:42'}
2025-11-28 12:45:43,981 - INFO - loaded macs {'mac': 'bc:df:58:5f:bd:ca', 'plug_mac': 'ac:15:a2:46:93:66', 'pi_mac': 'd8:3a:dd:15:42:42'}
2025-11-28 16:38:01,863 - INFO - loaded macs {'mac': 'bc:df:58:5f:bd:ca', 'plug_mac': 'ac:15:a2:46:9b:de', 'pi_mac': 'd8:3a:dd:15:42:93'}
2025-11-28 16:38:03,565 - INFO - experiment config {'modes': ['active', 'active_attack'], 'device_label': 'samsungtv', 'attacks': ['syn_flood', 'icmp_flood', 'port_scan', 'os_fingerprint'], 'tapo_email': 'iotlabucl@gmail.com', 'tapo_password': 'IoTlabUCL', 'pi_user': 'pi4', 'device_folder': 'samsungtv', 'pcap_dir': '/data/disk1/powerguard/new', 'interval': 1, 'settle_time': 60, 'duration': 2400, 'log_path': 'logs/samsungtv.log', 'mac_address': 'bc:df:58:5f:bd:ca', 'plug_mac': 'ac:15:a2:46:9b:de', 'pi_mac': 'd8:3a:dd:15:42:93', 'plug_ip': '192.168.40.103', 'pi_ip': '10.10.0.201', 'device_ip': '10.10.0.164'}
2025-11-28 16:38:03,565 - INFO - starting active monitoring
2025-11-28 16:38:03,761 - INFO - [START] Power logging: samsungtv/active
2025-11-28 16:38:03,793 - INFO - 2025-11-28T16:38:03.793721 | 80777 mW | under_attack=0
2025-11-28 16:38:04,828 - INFO - 2025-11-28T16:38:04.828733 | 80816 mW | under_attack=0
2025-11-28 16:38:05,903 - INFO - 2025-11-28T16:38:05.903788 | 80731 mW | under_attack=0
2025-11-28 16:38:06,934 - INFO - 2025-11-28T16:38:06.933959 | 80799 mW | under_attack=0
2025-11-28 16:38:07,966 - INFO - 2025-11-28T16:38:07.965870 | 80670 mW | under_attack=0
2025-11-28 16:38:08,996 - INFO - 2025-11-28T16:38:08.996280 | 80678 mW | under_attack=0
2025-11-28 16:38:10,028 - INFO - 2025-11-28T16:38:10.028407 | 80532 mW | under_attack=0
2025-11-28 16:38:11,059 - INFO - 2025-11-28T16:38:11.059046 | 80131 mW | under_attack=0
2025-11-28 16:38:12,089 - INFO - 2025-11-28T16:38:12.089537 | 80027 mW | under_attack=0
2025-11-28 16:38:13,119 - INFO - 2025-11-28T16:38:13.119368 | 79989 mW | under_attack=0
2025-11-28 16:38:14,164 - INFO - 2025-11-28T16:38:14.164483 | 79965 mW | under_attack=0
2025-11-28 16:38:15,212 - INFO - 2025-11-28T16:38:15.212236 | 80048 mW | under_attack=0
2025-11-28 16:38:16,242 - INFO - 2025-11-28T16:38:16.241880 | 80031 mW | under_attack=0
2025-11-28 16:38:17,272 - INFO - 2025-11-28T16:38:17.272603 | 79950 mW | under_attack=0
2025-11-28 16:38:18,311 - INFO - 2025-11-28T16:38:18.311131 | 79936 mW | under_attack=0
2025-11-28 16:38:19,341 - INFO - 2025-11-28T16:38:19.340908 | 79987 mW | under_attack=0
2025-11-28 16:38:20,370 - INFO - 2025-11-28T16:38:20.370846 | 80160 mW | under_attack=0
2025-11-28 16:38:21,402 - INFO - 2025-11-28T16:38:21.402683 | 80063 mW | under_attack=0
2025-11-28 16:38:22,433 - INFO - 2025-11-28T16:38:22.433543 | 80009 mW | under_attack=0
2025-11-28 16:38:23,463 - INFO - 2025-11-28T16:38:23.463507 | 79950 mW | under_attack=0
2025-11-28 16:38:24,507 - INFO - 2025-11-28T16:38:24.507428 | 79961 mW | under_attack=0
2025-11-28 16:38:25,537 - INFO - 2025-11-28T16:38:25.536994 | 79863 mW | under_attack=0
2025-11-28 16:38:26,585 - INFO - 2025-11-28T16:38:26.585017 | 79887 mW | under_attack=0
2025-11-28 16:38:27,615 - INFO - 2025-11-28T16:38:27.615739 | 79814 mW | under_attack=0
2025-11-28 16:38:28,647 - INFO - 2025-11-28T16:38:28.647680 | 80018 mW | under_attack=0
2025-11-28 16:38:29,681 - INFO - 2025-11-28T16:38:29.681717 | 80144 mW | under_attack=0
2025-11-28 16:38:30,712 - INFO - 2025-11-28T16:38:30.712393 | 80208 mW | under_attack=0
2025-11-28 16:38:31,741 - INFO - 2025-11-28T16:38:31.741174 | 80080 mW | under_attack=0
2025-11-28 16:38:32,826 - INFO - 2025-11-28T16:38:32.826623 | 80079 mW | under_attack=0
2025-11-28 16:38:33,858 - INFO - 2025-11-28T16:38:33.858514 | 79976 mW | under_attack=0
2025-11-28 16:38:34,889 - INFO - 2025-11-28T16:38:34.889606 | 79915 mW | under_attack=0
2025-11-28 16:38:35,920 - INFO - 2025-11-28T16:38:35.920563 | 79783 mW | under_attack=0
2025-11-28 16:38:36,951 - INFO - 2025-11-28T16:38:36.951407 | 79920 mW | under_attack=0
2025-11-28 16:38:37,981 - INFO - 2025-11-28T16:38:37.981373 | 79578 mW | under_attack=0
2025-11-28 16:38:39,011 - INFO - 2025-11-28T16:38:39.011541 | 79480 mW | under_attack=0
2025-11-28 16:38:40,048 - INFO - 2025-11-28T16:38:40.048515 | 79422 mW | under_attack=0
2025-11-28 16:38:41,095 - INFO - 2025-11-28T16:38:41.095835 | 79508 mW | under_attack=0
2025-11-28 16:38:42,125 - INFO - 2025-11-28T16:38:42.125477 | 79398 mW | under_attack=0
2025-11-28 16:38:43,172 - INFO - 2025-11-28T16:38:43.172289 | 79434 mW | under_attack=0
2025-11-28 16:38:44,216 - INFO - 2025-11-28T16:38:44.216089 | 79595 mW | under_attack=0
2025-11-28 16:38:45,245 - INFO - 2025-11-28T16:38:45.245745 | 79474 mW | under_attack=0
